Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.2 port 37020 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]  50.00-51.00  sec  1.86 MBytes  15.7 Mbits/sec   29   18.4 KBytes       
[  6]  51.00-52.00  sec  2.24 MBytes  18.8 Mbits/sec   35   15.6 KBytes       
[  6]  52.00-53.00  sec  1.86 MBytes  15.6 Mbits/sec   37   18.4 KBytes       
[  6]  53.00-54.00  sec  1.86 MBytes  15.6 Mbits/sec   34   19.8 KBytes       
[  6]  54.00-55.00  sec  1.86 MBytes  15.6 Mbits/sec   26   18.4 KBytes       
[  6]  55.00-56.00  sec  1.86 MBytes  15.7 Mbits/sec   39   17.0 KBytes       
[  6]  56.00-57.00  sec  1.86 MBytes  15.6 Mbits/sec   28   19.8 KBytes       
[  6]  57.00-58.00  sec  1.86 MBytes  15.6 Mbits/sec   26   17.0 KBytes       
[  6]  58.00-59.00  sec  2.24 MBytes  18.8 Mbits/sec   32   12.7 KBytes       
[  6]  59.00-60.00  sec  1.86 MBytes  15.6 Mbits/sec   28   22.6 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-60.00  sec   115 MBytes  16.1 Mbits/sec  1719             sender
[  6]   0.00-60.04  sec   115 MBytes  16.0 Mbits/sec                  receiver

iperf Done.
