Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.1 port 55908 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   362 KBytes  2.96 Mbits/sec    0   56.6 KBytes       
[  6]   1.00-2.00   sec   829 KBytes  6.80 Mbits/sec    2    165 KBytes       
[  6]   2.00-3.00   sec  0.00 Bytes  0.00 Mbits/sec    5   53.7 KBytes       
[  6]   3.00-4.00   sec   382 KBytes  3.13 Mbits/sec    0   49.5 KBytes       
[  6]   4.00-5.00   sec  0.00 Bytes  0.00 Mbits/sec    3   26.9 KBytes       
[  6]   5.00-6.00   sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  6]   6.00-7.00   sec  0.00 Bytes  0.00 Mbits/sec    2   11.3 KBytes       
[  6]   7.00-8.00   sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  6]   8.00-9.00   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  6]   9.00-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  10.00-11.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]  11.00-12.00  sec   382 KBytes  3.13 Mbits/sec    0   19.8 KBytes       
[  6]  12.00-13.00  sec  0.00 Bytes  0.00 Mbits/sec    2   11.3 KBytes       
[  6]  13.00-14.00  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  6]  14.00-15.00  sec  0.00 Bytes  0.00 Mbits/sec    2   9.90 KBytes       
[  6]  15.00-16.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  16.00-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 Mbits/sec    0   18.4 KBytes       
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 Mbits/sec    2   11.3 KBytes       
[  6]  19.00-20.00  sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  6]  20.00-21.00  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  6]  21.00-22.00  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 Mbits/sec    0   19.8 KBytes       
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 Mbits/sec    1   18.4 KBytes       
[  6]  25.00-26.00  sec   382 KBytes  3.13 Mbits/sec    1   14.1 KBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    2   9.90 KBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]  29.00-30.00  sec  0.00 Bytes  0.00 Mbits/sec    1   12.7 KBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 Mbits/sec    1   11.3 KBytes       
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 Mbits/sec    1   9.90 KBytes       
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]  34.00-35.00  sec  0.00 Bytes  0.00 Mbits/sec    0   19.8 KBytes       
[  6]  35.00-36.00  sec  0.00 Bytes  0.00 Mbits/sec    0   22.6 KBytes       
[  6]  36.00-37.00  sec  0.00 Bytes  0.00 Mbits/sec    0   24.0 KBytes       
[  6]  37.00-38.00  sec   382 KBytes  3.13 Mbits/sec    0   28.3 KBytes       
[  6]  38.00-39.00  sec  0.00 Bytes  0.00 Mbits/sec    2   17.0 KBytes       
[  6]  39.00-40.00  sec  0.00 Bytes  0.00 Mbits/sec    2   9.90 KBytes       
[  6]  40.00-41.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
