-----------------------------------------------------------
Server listening on 5001 (test #1)
-----------------------------------------------------------
Accepted connection from 10.255.255.1, port 47430
[  6] local 10.255.255.2 port 5001 connected to 10.255.255.1 port 47432
[ ID] Interval           Transfer     Bitrate
[  6]  33.00-34.00  sec  16.7 MBytes   140 Mbits/sec                  
[  6]  34.00-35.00  sec  27.3 MBytes   229 Mbits/sec                  
[  6]  35.00-36.00  sec  28.2 MBytes   236 Mbits/sec                  
[  6]  36.00-37.00  sec  27.8 MBytes   233 Mbits/sec                  
[  6]  37.00-38.00  sec  28.1 MBytes   236 Mbits/sec                  
[  6]  38.00-39.00  sec  28.0 MBytes   235 Mbits/sec                  
[  6]  39.00-40.00  sec  27.3 MBytes   229 Mbits/sec                  
[  6]  40.00-41.00  sec  27.6 MBytes   231 Mbits/sec                  
[  6]  41.00-42.01  sec  28.0 MBytes   235 Mbits/sec                  
[  6]  42.01-43.00  sec  27.5 MBytes   232 Mbits/sec                  
[  6]  43.00-44.00  sec  28.4 MBytes   238 Mbits/sec                  
[  6]  44.00-45.00  sec  27.8 MBytes   233 Mbits/sec                  
[  6]  45.00-46.00  sec  27.2 MBytes   229 Mbits/sec                  
[  6]  46.00-47.00  sec  28.1 MBytes   236 Mbits/sec                  
[  6]  47.00-48.00  sec  27.7 MBytes   232 Mbits/sec                  
[  6]  48.00-49.00  sec  27.4 MBytes   231 Mbits/sec                  
[  6]  49.00-50.00  sec  28.1 MBytes   236 Mbits/sec                  
[  6]  50.00-51.00  sec  28.5 MBytes   240 Mbits/sec                  
[  6]  51.00-52.00  sec  26.3 MBytes   220 Mbits/sec                  
[  6]  52.00-53.00  sec  26.9 MBytes   226 Mbits/sec                  
[  6]  53.00-54.00  sec  28.0 MBytes   235 Mbits/sec                  
[  6]  54.00-55.00  sec  28.1 MBytes   235 Mbits/sec                  
[  6]  55.00-56.00  sec  27.8 MBytes   233 Mbits/sec                  
[  6]  56.00-57.00  sec  27.9 MBytes   234 Mbits/sec                  
[  6]  57.00-58.00  sec  28.1 MBytes   236 Mbits/sec                  
[  6]  58.00-59.00  sec  28.0 MBytes   235 Mbits/sec                  
[  6]  59.00-60.00  sec  28.1 MBytes   236 Mbits/sec                  
[  6]  60.00-61.00  sec  27.8 MBytes   233 Mbits/sec                  
[  6]  61.00-62.00  sec  28.5 MBytes   239 Mbits/sec                  
[  6]  62.00-63.00  sec  26.9 MBytes   226 Mbits/sec                  
[  6]  63.00-64.00  sec  28.3 MBytes   237 Mbits/sec                  
[  6]  64.00-65.00  sec  27.6 MBytes   232 Mbits/sec                  
[  6]  65.00-66.01  sec  20.6 MBytes   171 Mbits/sec                  
[  6]  66.01-67.00  sec  27.3 MBytes   230 Mbits/sec                  
[  6]  67.00-68.00  sec  28.5 MBytes   239 Mbits/sec                  
[  6]  68.00-69.00  sec  27.2 MBytes   228 Mbits/sec                  
[  6]  69.00-70.00  sec  27.5 MBytes   231 Mbits/sec                  
[  6]  70.00-71.00  sec  28.0 MBytes   235 Mbits/sec                  
[  6]  71.00-72.00  sec  26.7 MBytes   223 Mbits/sec                  
[  6]  72.00-73.00  sec  27.4 MBytes   230 Mbits/sec                  
[  6]  73.00-74.00  sec  28.8 MBytes   242 Mbits/sec                  
[  6]  74.00-75.00  sec  27.2 MBytes   228 Mbits/sec                  
[  6]  75.00-76.00  sec  26.8 MBytes   225 Mbits/sec                  
[  6]  76.00-77.00  sec  28.5 MBytes   239 Mbits/sec                  
[  6]  77.00-78.00  sec  27.8 MBytes   233 Mbits/sec                  
[  6]  78.00-79.00  sec  26.8 MBytes   225 Mbits/sec                  
[  6]  79.00-80.01  sec  29.1 MBytes   243 Mbits/sec                  
[  6]  80.01-81.00  sec  27.0 MBytes   227 Mbits/sec                  
[  6]  81.00-82.00  sec  28.2 MBytes   236 Mbits/sec                  
[  6]  82.00-83.00  sec  28.3 MBytes   237 Mbits/sec                  
[  6]  83.00-84.00  sec  27.4 MBytes   230 Mbits/sec                  
[  6]  84.00-85.00  sec  20.3 MBytes   170 Mbits/sec                  
[  6]  85.00-86.00  sec  18.8 MBytes   158 Mbits/sec                  
[  6]  86.00-87.00  sec  20.4 MBytes   171 Mbits/sec                  
[  6]  87.00-88.00  sec  23.0 MBytes   193 Mbits/sec                  
[  6]  88.00-89.00  sec  22.2 MBytes   186 Mbits/sec                  
[  6]  89.00-90.00  sec  25.3 MBytes   212 Mbits/sec                  
[  6]  90.00-90.29  sec  7.36 MBytes   216 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  6]   0.00-90.29  sec  2.32 GBytes   221 Mbits/sec                  receiver
iperf3: interrupt - the server has terminated
