Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.1 port 33910 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]  61.02-62.00  sec  0.00 Bytes  0.00 Mbits/sec    3   19.8 KBytes       
[  6]  62.00-63.00  sec   127 KBytes  1.04 Mbits/sec    1   24.0 KBytes       
[  6]  63.00-64.00  sec   127 KBytes  1.04 Mbits/sec    0   24.0 KBytes       
[  6]  64.00-65.01  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  6]  65.01-66.01  sec   127 KBytes  1.04 Mbits/sec    2   19.8 KBytes       
[  6]  66.01-67.00  sec   127 KBytes  1.05 Mbits/sec    0   25.5 KBytes       
[  6]  67.00-68.00  sec  0.00 Bytes  0.00 Mbits/sec    6   19.8 KBytes       
[  6]  68.00-69.00  sec   127 KBytes  1.04 Mbits/sec    0   21.2 KBytes       
[  6]  69.00-70.01  sec  0.00 Bytes  0.00 Mbits/sec    0   22.6 KBytes       
[  6]  70.01-71.00  sec   127 KBytes  1.05 Mbits/sec    0   25.5 KBytes       
[  6]  71.00-72.01  sec  0.00 Bytes  0.00 Mbits/sec    4   22.6 KBytes       
[  6]  72.01-73.00  sec   127 KBytes  1.05 Mbits/sec    4   18.4 KBytes       
[  6]  73.00-74.01  sec  0.00 Bytes  0.00 Mbits/sec    1   17.0 KBytes       
[  6]  74.01-75.02  sec   127 KBytes  1.03 Mbits/sec    1   18.4 KBytes       
[  6]  75.02-76.00  sec  0.00 Bytes  0.00 Mbits/sec    1   12.7 KBytes       
[  6]  76.00-77.00  sec  0.00 Bytes  0.00 Mbits/sec    1   18.4 KBytes       
[  6]  77.00-78.00  sec   127 KBytes  1.05 Mbits/sec    3   11.3 KBytes       
[  6]  78.00-79.01  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  79.01-80.00  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  6]  80.00-81.00  sec   127 KBytes  1.04 Mbits/sec    0   17.0 KBytes       
[  6]  81.00-82.01  sec  0.00 Bytes  0.00 Mbits/sec    2   17.0 KBytes       
[  6]  82.01-83.01  sec   127 KBytes  1.04 Mbits/sec    2   14.1 KBytes       
[  6]  83.01-84.01  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  6]  84.01-85.00  sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  6]  85.00-86.00  sec   127 KBytes  1.04 Mbits/sec    0   19.8 KBytes       
[  6]  86.00-87.00  sec  0.00 Bytes  0.00 Mbits/sec    2   18.4 KBytes       
[  6]  87.00-88.00  sec   127 KBytes  1.04 Mbits/sec    0   19.8 KBytes       
[  6]  88.00-89.01  sec  0.00 Bytes  0.00 Mbits/sec    0   19.8 KBytes       
[  6]  89.01-90.00  sec   127 KBytes  1.05 Mbits/sec    2   18.4 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-90.00  sec  5.50 MBytes  0.51 Mbits/sec   98             sender
[  6]   0.00-90.29  sec  5.28 MBytes  0.49 Mbits/sec                  receiver

iperf Done.
