-----------------------------------------------------------
Server listening on 5001 (test #1)
-----------------------------------------------------------
Accepted connection from 10.255.255.1, port 33912
[  6] local 10.255.255.3 port 5001 connected to 10.255.255.1 port 33914
[ ID] Interval           Transfer     Bitrate
[  6]  79.00-80.00  sec  38.2 KBytes  0.31 Mbits/sec                  
[  6]  80.00-81.00  sec  32.5 KBytes  0.27 Mbits/sec                  
[  6]  81.00-82.00  sec  56.6 KBytes  0.46 Mbits/sec                  
[  6]  82.00-83.00  sec  62.2 KBytes  0.51 Mbits/sec                  
[  6]  83.00-84.00  sec  49.5 KBytes  0.41 Mbits/sec                  
[  6]  84.00-85.00  sec  50.9 KBytes  0.42 Mbits/sec                  
[  6]  85.00-86.00  sec  42.4 KBytes  0.35 Mbits/sec                  
[  6]  86.00-87.05  sec  32.5 KBytes  0.25 Mbits/sec                  
[  6]  87.05-88.00  sec  43.8 KBytes  0.38 Mbits/sec                  
[  6]  88.00-89.00  sec  36.8 KBytes  0.30 Mbits/sec                  
[  6]  89.00-90.01  sec  38.2 KBytes  0.31 Mbits/sec                  
[  6]  90.01-90.29  sec  15.6 KBytes  0.46 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  6]   0.00-90.29  sec  5.33 MBytes  0.49 Mbits/sec                  receiver
iperf3: interrupt - the server has terminated
