Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.2 port 35220 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]  70.00-71.00  sec  1.93 MBytes  16.2 Mbits/sec   18   38.2 KBytes       
[  6]  71.00-72.00  sec  2.11 MBytes  17.7 Mbits/sec   24   22.6 KBytes       
[  6]  72.00-73.00  sec  1.99 MBytes  16.7 Mbits/sec   26   26.9 KBytes       
[  6]  73.00-74.00  sec  2.30 MBytes  19.3 Mbits/sec   35   9.90 KBytes       
[  6]  74.00-75.00  sec  2.11 MBytes  17.7 Mbits/sec   30   29.7 KBytes       
[  6]  75.00-76.00  sec  1.99 MBytes  16.7 Mbits/sec   32   22.6 KBytes       
[  6]  76.00-77.00  sec  2.11 MBytes  17.7 Mbits/sec   24   29.7 KBytes       
[  6]  77.00-78.00  sec  2.42 MBytes  20.3 Mbits/sec   22   29.7 KBytes       
[  6]  78.00-79.00  sec  2.36 MBytes  19.8 Mbits/sec   37   21.2 KBytes       
[  6]  79.00-80.00  sec  2.24 MBytes  18.8 Mbits/sec   30   14.1 KBytes       
[  6]  80.00-81.00  sec  1.93 MBytes  16.2 Mbits/sec   26   21.2 KBytes       
[  6]  81.00-82.00  sec  2.24 MBytes  18.8 Mbits/sec   21   19.8 KBytes       
[  6]  82.00-83.00  sec  2.11 MBytes  17.7 Mbits/sec   36   18.4 KBytes       
[  6]  83.00-84.00  sec  2.17 MBytes  18.2 Mbits/sec   21   28.3 KBytes       
[  6]  84.00-85.00  sec  2.30 MBytes  19.3 Mbits/sec   28   29.7 KBytes       
[  6]  85.00-86.00  sec  2.17 MBytes  18.2 Mbits/sec   19   22.6 KBytes       
[  6]  86.00-87.00  sec  2.17 MBytes  18.3 Mbits/sec   29   21.2 KBytes       
[  6]  87.00-88.00  sec  2.17 MBytes  18.2 Mbits/sec   39   12.7 KBytes       
[  6]  88.00-89.00  sec  2.11 MBytes  17.7 Mbits/sec   34   26.9 KBytes       
[  6]  89.00-90.00  sec  2.11 MBytes  17.7 Mbits/sec   32   5.66 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-90.00  sec   168 MBytes  15.7 Mbits/sec  2584             sender
[  6]   0.00-90.01  sec   168 MBytes  15.7 Mbits/sec                  receiver

iperf Done.
