-----------------------------------------------------------
Server listening on 5001 (test #1)
-----------------------------------------------------------
Accepted connection from 10.255.255.1, port 49936
[  6] local 10.255.255.2 port 5001 connected to 10.255.255.1 port 49938
[ ID] Interval           Transfer     Bitrate
[  6]  81.00-82.00  sec  28.0 MBytes   235 Mbits/sec                  
[  6]  82.00-83.00  sec  28.0 MBytes   234 Mbits/sec                  
[  6]  83.00-84.00  sec  27.7 MBytes   232 Mbits/sec                  
[  6]  84.00-85.00  sec  27.7 MBytes   233 Mbits/sec                  
[  6]  85.00-86.00  sec  28.4 MBytes   239 Mbits/sec                  
[  6]  86.00-87.00  sec  22.6 MBytes   190 Mbits/sec                  
[  6]  87.00-88.01  sec  25.8 MBytes   215 Mbits/sec                  
[  6]  88.01-89.00  sec  26.8 MBytes   226 Mbits/sec                  
[  6]  89.00-90.00  sec  27.7 MBytes   232 Mbits/sec                  
[  6]  90.00-90.30  sec  8.05 MBytes   225 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  6]   0.00-90.30  sec  2.36 GBytes   224 Mbits/sec                  receiver
iperf3: interrupt - the server has terminated
