Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.1 port 41650 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  83.4 KBytes  0.68 Mbits/sec    2   15.6 KBytes       
[  6]   1.00-2.00   sec   133 KBytes  1.09 Mbits/sec    0   19.8 KBytes       
[  6]   2.00-3.00   sec  0.00 Bytes  0.00 Mbits/sec    0   22.6 KBytes       
[  6]   3.00-4.00   sec  87.7 KBytes  0.72 Mbits/sec    0   25.5 KBytes       
[  6]   4.00-5.00   sec  63.6 KBytes  0.52 Mbits/sec    4   14.1 KBytes       
[  6]   5.00-6.00   sec  63.6 KBytes  0.52 Mbits/sec    0   18.4 KBytes       
[  6]   6.00-7.00   sec  0.00 Bytes  0.00 Mbits/sec    0   21.2 KBytes       
[  6]   7.00-8.00   sec  63.6 KBytes  0.52 Mbits/sec    2   12.7 KBytes       
[  6]   8.00-9.00   sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]   9.00-10.00  sec  63.6 KBytes  0.52 Mbits/sec    0   18.4 KBytes       
[  6]  10.00-11.00  sec  0.00 Bytes  0.00 Mbits/sec    2   11.3 KBytes       
[  6]  11.00-12.00  sec  63.6 KBytes  0.52 Mbits/sec    0   14.1 KBytes       
[  6]  12.00-13.00  sec  0.00 Bytes  0.00 Mbits/sec    2   7.07 KBytes       
[  6]  13.00-14.00  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  6]  14.00-15.01  sec  63.6 KBytes  0.52 Mbits/sec    0   15.6 KBytes       
[  6]  15.01-16.00  sec  0.00 Bytes  0.00 Mbits/sec    2   7.07 KBytes       
[  6]  16.00-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  6]  17.00-18.00  sec  63.6 KBytes  0.52 Mbits/sec    0   14.1 KBytes       
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
