Connecting to host 10.255.255.2, port 5001
[  6] local 10.255.255.1 port 42604 connected to 10.255.255.2 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   325 KBytes  2.66 Mbits/sec    0   56.6 KBytes       
[  6]  30.00-31.00  sec  16.2 MBytes   136 Mbits/sec    0   16.0 MBytes       
[  6]  31.00-32.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  32.00-33.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[  6]  33.00-34.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[  6]  34.00-35.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  35.00-36.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  36.00-37.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  37.00-38.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[  6]  38.00-39.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  39.00-40.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  40.00-41.00  sec  17.5 MBytes   147 Mbits/sec   45   11.2 MBytes       
[  6]  41.00-42.00  sec  7.50 MBytes  62.9 Mbits/sec    0   11.2 MBytes       
[  6]  42.00-43.00  sec  17.5 MBytes   146 Mbits/sec    0   11.2 MBytes       
[  6]  43.00-44.00  sec  18.8 MBytes   158 Mbits/sec    0   11.2 MBytes       
[  6]  44.00-45.00  sec  16.2 MBytes   137 Mbits/sec    0   11.2 MBytes       
[  6]  45.00-46.00  sec  18.8 MBytes   157 Mbits/sec    0   11.2 MBytes       
[  6]  46.00-47.00  sec  15.0 MBytes   126 Mbits/sec   21   7.84 MBytes       
[  6]  47.00-48.00  sec  13.8 MBytes   115 Mbits/sec    0   8.01 MBytes       
[  6]  48.00-49.00  sec  13.8 MBytes   115 Mbits/sec   14   5.61 MBytes       
[  6]  49.00-50.00  sec  11.2 MBytes  94.5 Mbits/sec    0   5.82 MBytes       
[  6]  50.00-51.00  sec  11.2 MBytes  94.4 Mbits/sec    0   6.02 MBytes       
[  6]  51.00-52.01  sec  13.8 MBytes   115 Mbits/sec    0   6.22 MBytes       
[  6]  52.01-53.00  sec  15.0 MBytes   126 Mbits/sec    0   6.38 MBytes       
[  6]  53.00-54.00  sec  11.2 MBytes  94.2 Mbits/sec   12   4.49 MBytes       
[  6]  54.00-55.00  sec  10.0 MBytes  84.1 Mbits/sec    6   4.55 MBytes       
[  6]  55.00-56.00  sec  8.75 MBytes  73.4 Mbits/sec    0   4.55 MBytes       
[  6]  56.00-57.00  sec  10.0 MBytes  83.9 Mbits/sec    8   3.19 MBytes       
[  6]  57.00-58.00  sec  7.50 MBytes  62.9 Mbits/sec    0   3.45 MBytes       
[  6]  58.00-59.00  sec  7.50 MBytes  62.8 Mbits/sec    0   3.68 MBytes       
[  6]  59.00-60.00  sec  7.50 MBytes  62.9 Mbits/sec    3   2.73 MBytes       
[  6]  60.00-61.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.81 MBytes       
[  6]  61.00-62.00  sec  7.50 MBytes  63.0 Mbits/sec    0   2.92 MBytes       
[  6]  62.00-63.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.00 MBytes       
[  6]  63.00-64.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.06 MBytes       
[  6]  64.00-65.00  sec  7.50 MBytes  62.9 Mbits/sec    0   3.11 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-65.00  sec   942 MBytes   122 Mbits/sec  156             sender
[  6]   0.00-65.45  sec   935 MBytes   120 Mbits/sec                  receiver

iperf Done.
