Connecting to host 10.255.255.2, port 5001
[  6] local 10.255.255.1 port 42366 connected to 10.255.255.2 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]  24.00-25.00  sec  8.75 MBytes  73.4 Mbits/sec    0   4.04 MBytes       
[  6]  25.00-26.00  sec  7.50 MBytes  62.9 Mbits/sec    0   4.04 MBytes       
[  6]  26.00-27.00  sec  10.0 MBytes  83.9 Mbits/sec    0   4.04 MBytes       
[  6]  27.00-28.00  sec  10.0 MBytes  83.7 Mbits/sec    0   4.05 MBytes       
[  6]  28.00-29.00  sec  8.75 MBytes  73.6 Mbits/sec    0   4.05 MBytes       
[  6]  29.00-30.00  sec  7.50 MBytes  62.9 Mbits/sec    0   4.05 MBytes       
[  6]  30.00-31.00  sec  8.75 MBytes  73.1 Mbits/sec    7   2.03 MBytes       
[  6]  31.00-32.00  sec  5.00 MBytes  42.1 Mbits/sec    0   2.03 MBytes       
[  6]  32.00-33.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.04 MBytes       
[  6]  33.00-34.00  sec  3.75 MBytes  31.4 Mbits/sec    0   2.04 MBytes       
[  6]  34.00-35.00  sec  5.00 MBytes  42.0 Mbits/sec    0   2.04 MBytes       
[  6]  35.00-36.00  sec  5.00 MBytes  42.0 Mbits/sec    0   2.05 MBytes       
[  6]  36.00-37.00  sec  3.75 MBytes  31.4 Mbits/sec    3   1.03 MBytes       
[  6]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.03 MBytes       
[  6]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.03 MBytes       
[  6]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.04 MBytes       
[  6]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  6]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.04 MBytes       
[  6]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.05 MBytes       
[  6]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.05 MBytes       
[  6]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.05 MBytes       
[  6]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.06 MBytes       
[  6]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.06 MBytes       
[  6]  47.00-48.00  sec  2.50 MBytes  20.9 Mbits/sec    0   1.06 MBytes       
[  6]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.06 MBytes       
[  6]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    2    549 KBytes       
[  6]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0    553 KBytes       
[  6]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0    556 KBytes       
[  6]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0    559 KBytes       
[  6]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    0    561 KBytes       
[  6]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec    0    566 KBytes       
[  6]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec    0    568 KBytes       
[  6]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec    0    571 KBytes       
[  6]  57.00-58.00  sec  1.25 MBytes  10.5 Mbits/sec    0    574 KBytes       
[  6]  58.00-59.00  sec  1.25 MBytes  10.5 Mbits/sec    0    578 KBytes       
[  6]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    0    581 KBytes       
[  6]  60.00-61.00  sec  1.25 MBytes  10.5 Mbits/sec    0    584 KBytes       
[  6]  61.00-62.00  sec  1.25 MBytes  10.5 Mbits/sec    0    587 KBytes       
[  6]  62.00-63.00  sec  1.25 MBytes  10.5 Mbits/sec    0    591 KBytes       
[  6]  63.00-64.00  sec  1.25 MBytes  10.5 Mbits/sec    0    594 KBytes       
[  6]  64.00-65.00  sec  1.25 MBytes  10.5 Mbits/sec    0    597 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-65.00  sec   396 MBytes  51.1 Mbits/sec   96             sender
[  6]   0.00-65.44  sec   386 MBytes  49.5 Mbits/sec                  receiver

iperf Done.
