Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.2 port 36900 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]  40.00-41.00  sec  1.99 MBytes  16.7 Mbits/sec   35   12.7 KBytes       
[  6]  41.00-42.00  sec  1.99 MBytes  16.6 Mbits/sec   33   15.6 KBytes       
[  6]  42.00-43.00  sec  1.99 MBytes  16.7 Mbits/sec   23   15.6 KBytes       
[  6]  43.00-44.00  sec  1.74 MBytes  14.6 Mbits/sec   34   7.07 KBytes       
[  6]  44.00-45.00  sec  1.62 MBytes  13.6 Mbits/sec   29   18.4 KBytes       
[  6]  45.00-46.00  sec  1.99 MBytes  16.7 Mbits/sec   29   7.07 KBytes       
[  6]  46.00-47.00  sec  1.99 MBytes  16.7 Mbits/sec   25   19.8 KBytes       
[  6]  47.00-48.00  sec  1.49 MBytes  12.5 Mbits/sec   28   9.90 KBytes       
[  6]  48.00-49.00  sec  1.74 MBytes  14.6 Mbits/sec   39   21.2 KBytes       
[  6]  49.00-50.00  sec  2.11 MBytes  17.7 Mbits/sec   29   15.6 KBytes       
[  6]  50.00-51.00  sec  1.37 MBytes  11.5 Mbits/sec   27   14.1 KBytes       
[  6]  51.00-52.00  sec  1.99 MBytes  16.7 Mbits/sec   32   17.0 KBytes       
[  6]  52.00-53.00  sec  1.86 MBytes  15.6 Mbits/sec   23   26.9 KBytes       
[  6]  53.00-54.00  sec  1.99 MBytes  16.7 Mbits/sec   39   12.7 KBytes       
[  6]  54.00-55.00  sec  1.99 MBytes  16.6 Mbits/sec   24   35.4 KBytes       
[  6]  55.00-56.00  sec  1.93 MBytes  16.2 Mbits/sec   24   11.3 KBytes       
[  6]  56.00-57.00  sec  1.93 MBytes  16.1 Mbits/sec   16   19.8 KBytes       
[  6]  57.00-58.00  sec  1.86 MBytes  15.6 Mbits/sec   30   12.7 KBytes       
[  6]  58.00-59.00  sec  1.86 MBytes  15.6 Mbits/sec   26   15.6 KBytes       
[  6]  59.00-60.00  sec  1.86 MBytes  15.6 Mbits/sec   42   14.1 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-60.00  sec   113 MBytes  15.8 Mbits/sec  1731             sender
[  6]   0.00-60.04  sec   113 MBytes  15.8 Mbits/sec                  receiver

iperf Done.
