Connecting to host 10.255.255.2, port 5001
[  6] local 10.255.255.1 port 55632 connected to 10.255.255.2 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   325 KBytes  2.66 Mbits/sec    0   56.6 KBytes       
[  6]   1.00-2.00   sec   865 KBytes  7.08 Mbits/sec    0    226 KBytes       
[  6]   2.00-3.00   sec  3.71 MBytes  31.2 Mbits/sec    1    902 KBytes       
[  6]   3.00-4.00   sec  10.0 MBytes  84.0 Mbits/sec    0   3.78 MBytes       
[  6]   4.00-5.00   sec  15.0 MBytes   125 Mbits/sec    0   16.0 MBytes       
[  6]   5.00-6.00   sec  18.8 MBytes   158 Mbits/sec    0   16.0 MBytes       
[  6]   6.00-7.00   sec  16.2 MBytes   136 Mbits/sec    0   16.0 MBytes       
[  6]   7.00-8.00   sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]   8.00-9.00   sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[  6]   9.00-10.00  sec  20.0 MBytes   168 Mbits/sec    0   16.0 MBytes       
[  6]  10.00-11.00  sec  15.0 MBytes   126 Mbits/sec   45   16.0 MBytes       
[  6]  11.00-12.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  12.00-13.00  sec  20.0 MBytes   168 Mbits/sec    0   16.0 MBytes       
[  6]  13.00-14.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[  6]  14.00-15.00  sec  16.2 MBytes   136 Mbits/sec    0   16.0 MBytes       
[  6]  15.00-16.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  16.00-17.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[  6]  17.00-18.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[  6]  18.00-19.00  sec  16.2 MBytes   137 Mbits/sec    0   16.0 MBytes       
[  6]  19.00-20.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  20.00-21.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[  6]  21.00-22.00  sec  20.0 MBytes   168 Mbits/sec    0   16.0 MBytes       
[  6]  22.00-23.00  sec  15.0 MBytes   126 Mbits/sec    0   16.0 MBytes       
[  6]  23.00-24.01  sec  17.5 MBytes   146 Mbits/sec    0   16.0 MBytes       
[  6]  24.01-25.01  sec  20.0 MBytes   168 Mbits/sec    0   16.0 MBytes       
[  6]  25.01-26.00  sec  18.8 MBytes   158 Mbits/sec    0   16.0 MBytes       
[  6]  26.00-27.00  sec  16.2 MBytes   136 Mbits/sec    0   16.0 MBytes       
[  6]  27.00-28.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[  6]  28.00-29.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[  6]  29.00-30.00  sec  17.5 MBytes   147 Mbits/sec   33   8.01 MBytes       
[  6]  30.00-31.01  sec  8.75 MBytes  73.0 Mbits/sec    0   8.01 MBytes       
[  6]  31.01-32.00  sec  17.5 MBytes   147 Mbits/sec    0   8.01 MBytes       
[  6]  32.00-33.00  sec  17.5 MBytes   147 Mbits/sec    0   8.01 MBytes       
[  6]  33.00-34.00  sec  17.5 MBytes   147 Mbits/sec    0   8.01 MBytes       
[  6]  34.00-35.00  sec  17.5 MBytes   147 Mbits/sec    0   8.01 MBytes       
[  6]  35.00-36.00  sec  18.8 MBytes   157 Mbits/sec    0   8.01 MBytes       
[  6]  36.00-37.00  sec  17.5 MBytes   146 Mbits/sec    0   8.01 MBytes       
[  6]  37.00-38.00  sec  18.8 MBytes   158 Mbits/sec    0   8.01 MBytes       
[  6]  38.00-39.00  sec  17.5 MBytes   147 Mbits/sec    0   8.01 MBytes       
[  6]  39.00-40.00  sec  17.5 MBytes   147 Mbits/sec    0   8.01 MBytes       
[  6]  40.00-41.00  sec  18.8 MBytes   157 Mbits/sec    0   8.01 MBytes       
[  6]  41.00-42.00  sec  17.5 MBytes   147 Mbits/sec    0   8.01 MBytes       
[  6]  42.00-43.00  sec  18.8 MBytes   157 Mbits/sec    0   8.01 MBytes       
[  6]  43.00-44.00  sec  17.5 MBytes   147 Mbits/sec    0   8.01 MBytes       
