-----------------------------------------------------------
Server listening on 5001 (test #1)
-----------------------------------------------------------
Accepted connection from 10.255.255.1, port 55544
[  6] local 10.255.255.2 port 5001 connected to 10.255.255.1 port 55546
[ ID] Interval           Transfer     Bitrate
[  6]  83.00-84.00  sec  18.1 MBytes   152 Mbits/sec                  
[  6]  84.00-85.00  sec  17.6 MBytes   147 Mbits/sec                  
[  6]  85.00-86.00  sec  17.9 MBytes   150 Mbits/sec                  
[  6]  86.00-87.00  sec  18.1 MBytes   152 Mbits/sec                  
[  6]  87.00-88.00  sec  18.5 MBytes   155 Mbits/sec                  
[  6]  88.00-89.00  sec  17.5 MBytes   146 Mbits/sec                  
[  6]  89.00-90.00  sec  17.8 MBytes   150 Mbits/sec                  
[  6]  90.00-90.45  sec  7.95 MBytes   150 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  6]   0.00-90.45  sec  1.52 GBytes   144 Mbits/sec                  receiver
iperf3: interrupt - the server has terminated
